YEAR,QUARTER,ID,RGDP1,RGDP2,RGDP3,RGDP4,RGDP5,RGDP6
2000,1,20,9026.9,9132.2,9199.3,9282.4,9361.6,9418.8
2000,1,40,9026.9,9097.6,9166.0,9243.0,9308.1,9366.5
2000,1,65,9026.9,9071.7,9105.529,9150.72,9196.134,9246.301
2000,1,84,9026.9,9112.0,9202.0,9257.0,9295.0,
2000,1,94,9026.9,9091.8,9162.8,9212.0,9271.0,9347.2
2000,1,407,9026.9,9077.4,9150.0,9227.0,9303.7,9382.1
2000,1,411,9026.9,9100.8,9168.5,9237.6,9295.9,9360.2
2000,1,414,9026.9,9118.037,9190.122,9267.262,9354.073,9430.308
2000,1,420,9026.9,9108.0,9188.0,9257.0,9315.0,9364.0
2000,1,421,9026.9,9063.0,9135.0,9190.0,9236.0,9247.0
2000,1,426,9026.9,9067.25,9130.065,9184.359,9252.48,9334.651
2000,1,428,9026.9,9115.1,9212.0,9274.1,9319.4,9372.9
2000,1,429,9026.9,9116.9,9172.1,9190.9,9251.3,9323.2
2000,1,431,9026.9,9051.1,9115.1,9188.6,9259.9,9338.2
2000,1,433,9026.9,9098.265,9161.295,9206.762,9247.915,9286.971
2000,1,456,9026.9,9116.0,9211.0,9293.0,9366.0,9435.0
2000,1,463,9026.9,9094.0,9166.0,9227.0,9307.0,9376.0
2000,1,464,9026.9,9110.7,9187.5,9270.9,9359.8,9433.0
2000,1,465,9026.9,9103.0,9180.0,9250.0,9327.0,9421.0
2000,1,469,9026.9,9113.0,9190.0,9259.0,9319.0,9370.0
2000,1,470,9026.9,9097.2,9188.9,9247.4,9306.0,9373.4
2000,1,472,9026.9,9086.2,9147.3,9241.6,9332.3,
2000,1,481,9026.9,9104.87,9179.073,9247.155,9315.742,9384.838
2000,1,484,9026.9,9058.33,9112.197,9168.622,9223.146,9252.976
2000,1,486,9026.9,9098.0,9179.0,9254.0,9318.0,
2000,1,498,9026.9,9114.9,9193.3,9273.5,9346.4,9429.0
2000,1,499,9026.9,9128.966,9140.355,9217.077,9314.602,9392.786
2000,1,500,9026.9,9069.4,9146.6,9218.9,9278.1,9341.9
2000,1,501,9026.9,9093.854,9156.853,9231.479,9297.692,9355.266
2000,1,504,9026.9,9071.7,9150.1,9224.6,9299.8,
2000,1,506,9026.9,9070.4,9145.2,9206.6,9283.0,9373.8
2000,1,507,9026.9,9113.654,9203.455,9294.141,9369.887,9439.384
2000,1,508,9026.9,9096.1,9154.9,9241.1,9309.3,9383.6
2000,1,510,9026.9,9089.436,9194.404,9276.06,9349.394,9418.738
2000,1,512,9026.9,9083.0,9185.0,9279.0,9352.0,9403.0
2000,1,513,9026.9,9043.8,9096.0,9188.0,9268.0,9357.3
2000,2,20,9156.6,9223.0,9299.4,9381.4,9443.8,9500.1
2000,2,65,9156.6,9224.515,9281.635,9339.109,9396.939,9466.638
2000,2,84,9147.0,9267.0,9343.0,9394.0,9434.0,
2000,2,407,9156.6,9250.3,9325.1,9407.0,9486.4,9551.0
2000,2,420,9156.6,9246.0,9320.0,9385.0,9441.0,9500.0
2000,2,421,9156.6,9225.3,9289.9,9331.7,9343.3,9378.3
2000,2,423,9156.6,9256.8,9347.2,9432.8,9516.2,9598.9
2000,2,426,9156.6,9251.266,9322.145,9375.291,9428.74,9496.367
2000,2,428,9156.6,9262.2,9331.7,9377.2,9424.5,9486.0
2000,2,431,9156.6,9261.6,9335.3,9428.1,9526.1,9617.9
2000,2,433,9156.6,9253.484,9335.664,9402.624,9463.154,9512.449
2000,2,439,9156.6,9288.3,9376.4,9445.9,9524.7,9611.8
2000,2,446,9156.6,9251.3,9319.9,9384.4,9442.6,9505.7
2000,2,456,9156.6,9240.8,9345.9,9444.4,9623.6,9698.9
2000,2,458,9156.6,9257.917,9371.532,9497.815,9602.908,9709.164
2000,2,463,9156.6,9267.0,9336.0,9424.0,9494.0,9561.0
2000,2,465,9156.6,9240.3,9360.4,9458.6,9596.8,9674.2
2000,2,469,9156.6,9260.0,9340.0,9422.0,9497.0,9571.0
2000,2,472,9156.6,9233.458,9315.46,9391.379,9451.837,9470.685
2000,2,475,9156.6,9254.0,9345.0,9434.0,9521.0,9603.0
2000,2,483,9156.6,9248.5,9360.9,9469.3,9570.8,9659.8
2000,2,484,9156.6,9211.052,9265.827,9323.203,9353.356,9413.569
2000,2,486,9156.6,9253.0,9344.0,9419.0,9467.0,9514.0
2000,2,497,9156.6,9259.0,9326.9,9386.3,9446.4,9507.4
2000,2,498,9156.6,9257.5,9338.0,9417.7,9500.5,
2000,2,500,9156.6,9254.5,9322.3,9378.0,9406.0,9461.0
2000,2,501,9156.6,9264.555,9337.798,9407.057,9474.528,9535.521
2000,2,502,9156.6,9215.546,9279.389,9330.01,9380.907,9432.082
2000,2,506,9156.6,9245.0,9323.0,9407.0,9505.0,9602.0
2000,2,507,9156.6,9212.0,9315.0,9391.0,9460.0,9503.0
2000,2,508,9156.6,9244.2,9309.9,9395.0,9449.2,9545.6
2000,2,510,9156.6,9251.266,9340.176,9441.265,9529.706,9612.019
2000,2,512,9156.6,9251.0,9322.0,9392.0,9443.0,9515.0
2000,2,513,9156.6,9343.4,9534.4,9721.3,9850.2,10076.6
2000,3,20,9308.8,9428.8,9528.8,9638.8,9752.3,9853.0
2000,3,40,9308.8,9406.5,9488.4,9554.4,9625.0,9697.9
2000,3,65,9308.8,9389.204,9447.345,9494.231,9541.351,9593.4
2000,3,84,9308.8,9377.0,9442.0,9502.0,9595.0,9691.0
2000,3,407,9308.8,9392.6,9461.6,9539.9,9607.6,9666.3
2000,3,420,9308.8,9400.0,9480.0,9544.0,9604.0,9659.0
2000,3,421,9308.8,9409.0,9503.0,9539.0,9551.0,9639.0
2000,3,423,9308.8,9402.4,9491.9,9677.4,9661.7,9745.6
2000,3,426,9308.8,9386.936,9468.015,9549.794,9625.292,9689.615
2000,3,428,9308.8,9386.0,9458.1,9526.4,9585.8,9658.1
2000,3,431,9308.8,9366.6,9448.1,9521.9,9591.7,9674.9
2000,3,433,9308.8,9396.0,9474.867,9542.825,9594.883,9649.584
2000,3,446,9308.8,9377.844,9442.811,9512.849,9583.406,9656.829
2000,3,456,9308.8,9384.9,9493.8,9594.8,9691.4,9778.8
2000,3,463,9308.8,9389.0,9482.0,9564.0,9646.0,9725.0
2000,3,464,9308.8,9385.8,9442.4,9433.9,9548.9,9611.4
2000,3,472,9308.8,9377.844,9445.106,9498.953,9564.759,9635.701
2000,3,475,9308.8,9386.9,9454.2,9531.3,9599.7,9673.2
2000,3,484,,,,,,
2000,3,485,9308.8,9325.0,9374.5,9425.0,9475.0,9525.0
2000,3,497,9308.8,9383.2,9452.5,9520.6,9582.5,
2000,3,498,9308.8,9394.3,9479.1,9566.1,9651.4,9734.4
2000,3,499,9308.8,9370.0,9466.0,9534.0,9615.0,9687.0
2000,3,500,9308.8,9356.0,9413.0,9510.0,9588.0,9674.0
2000,3,501,9308.8,9382.393,9447.391,9517.463,9585.727,9649.785
2000,3,502,9308.8,9366.442,9435.914,9505.901,9576.407,9647.437
