YEAR,QUARTER,ID,RECESS1,RECESS2,RECESS3,RECESS4,RECESS5
2000,4,475,0.0,5.0,10.0,15.0,20.0
2000,4,483,5.0,20.0,25.0,30.0,35.0
2000,4,485,0.0,25.0,50.0,50.0,25.0
2000,4,488,5.0,15.0,20.0,30.0,35.0
2000,4,497,1.0,2.0,10.0,10.0,10.0
2000,4,498,,,,,
2000,4,499,0.0,5.0,10.0,15.0,15.0
2000,4,500,0.0,3.0,5.0,5.0,5.0
2000,4,501,2.0,15.0,20.0,25.0,25.0
2000,4,502,0.0,20.0,25.0,35.0,50.0
2000,4,504,1.0,5.0,10.0,15.0,
2000,4,506,2.0,8.0,12.0,12.0,10.0
2000,4,508,12.0,12.0,10.0,8.0,8.0
2000,4,510,0.0,20.0,40.0,20.0,20.0
2000,4,512,0.0,5.0,5.0,5.0,5.0
2001,1,20,0.0,0.1,5.0,5.0,5.0
2001,1,40,,,,,
2001,1,65,33.0,15.0,5.0,0.0,0.0
2001,1,84,45.0,45.0,35.0,35.0,
2001,1,94,30.0,40.0,40.0,20.0,10.0
2001,1,99,21.0,14.0,9.0,6.0,4.0
2001,1,411,0.0,2.0,10.0,10.0,10.0
2001,1,421,50.0,40.0,30.0,20.0,20.0
2001,1,423,21.0,9.0,18.0,25.0,26.0
2001,1,428,45.0,35.0,25.0,20.0,15.0
2001,1,429,,,,,
2001,1,431,40.0,25.0,20.0,20.0,20.0
2001,1,433,35.0,20.0,10.0,10.0,10.0
2001,1,439,30.0,20.0,10.0,10.0,10.0
2001,1,446,25.0,35.0,30.0,20.0,5.0
2001,1,456,50.0,40.0,30.0,20.0,15.0
2001,1,463,40.0,30.0,20.0,15.0,15.0
2001,1,465,80.0,70.0,40.0,30.0,10.0
2001,1,472,30.0,20.0,10.0,5.0,0.0
2001,1,475,60.0,50.0,20.0,20.0,10.0
2001,1,483,67.0,55.0,40.0,35.0,30.0
2001,1,484,25.0,18.0,16.0,11.0,9.0
2001,1,485,60.0,70.0,40.0,20.0,10.0
2001,1,497,,,,,
2001,1,498,,,,,
2001,1,499,45.0,50.0,35.0,30.0,30.0
2001,1,500,50.0,30.0,20.0,10.0,5.0
2001,1,502,50.0,35.0,20.0,10.0,20.0
2001,1,504,35.0,25.0,20.0,,
2001,1,506,40.0,30.0,25.0,25.0,25.0
2001,1,507,40.0,33.0,25.0,25.0,25.0
2001,1,508,25.0,25.0,10.0,0.0,0.0
2001,1,510,0.0,50.0,50.0,50.0,0.0
2001,1,512,30.0,20.0,10.0,10.0,10.0
2001,1,516,30.0,30.0,25.0,20.0,20.0
2001,2,20,5.0,5.0,5.0,5.0,5.0
2001,2,40,,,,,
2001,2,65,75.0,25.0,5.0,0.0,0.0
2001,2,84,35.0,25.0,25.0,25.0,25.0
2001,2,94,30.0,30.0,30.0,20.0,20.0
2001,2,407,30.0,80.0,80.0,25.0,10.0
2001,2,411,0.0,2.0,10.0,10.0,10.0
2001,2,421,35.0,30.0,20.0,20.0,20.0
2001,2,423,28.0,38.0,43.0,41.0,41.0
2001,2,428,50.0,50.0,40.0,30.0,20.0
2001,2,429,,,,,
2001,2,431,40.0,30.0,20.0,15.0,15.0
2001,2,433,35.0,20.0,20.0,20.0,20.0
2001,2,446,10.0,25.0,15.0,15.0,10.0
2001,2,456,10.0,20.0,30.0,30.0,20.0
2001,2,463,,,,,
2001,2,465,60.0,50.0,20.0,20.0,10.0
2001,2,472,40.0,10.0,0.0,0.0,0.0
2001,2,484,35.0,22.0,18.0,11.0,9.0
2001,2,485,40.0,30.0,10.0,5.0,5.0
2001,2,497,40.0,20.0,10.0,10.0,10.0
2001,2,498,,,,,
2001,2,499,20.0,15.0,30.0,30.0,30.0
2001,2,500,25.0,20.0,15.0,10.0,10.0
2001,2,502,,,,,
2001,2,504,0.0,25.0,15.0,10.0,5.0
2001,2,506,45.0,45.0,40.0,35.0,30.0
2001,2,507,45.0,25.0,10.0,5.0,5.0
2001,2,508,25.0,20.0,10.0,10.0,10.0
2001,2,510,50.0,50.0,50.0,50.0,0.0
2001,2,512,0.0,40.0,40.0,20.0,5.0
2001,2,516,40.0,30.0,20.0,10.0,10.0
2001,2,518,35.0,25.0,25.0,15.0,10.0
2001,3,20,0.1,0.0,0.0,0.0,0.0
2001,3,40,,,,,
2001,3,65,25.0,15.0,5.0,0.0,0.0
2001,3,84,25.0,10.0,15.0,20.0,20.0
2001,3,99,22.0,17.0,13.0,11.0,9.0
2001,3,407,70.0,40.0,20.0,10.0,10.0
2001,3,411,10.0,5.0,5.0,5.0,5.0
2001,3,420,30.0,20.0,10.0,10.0,10.0
2001,3,421,45.0,35.0,25.0,20.0,15.0
2001,3,426,45.0,35.0,20.0,20.0,15.0
2001,3,428,50.0,40.0,30.0,20.0,10.0
2001,3,429,,,,,
2001,3,431,35.0,35.0,30.0,25.0,25.0
2001,3,433,30.0,25.0,25.0,25.0,25.0
2001,3,439,25.0,20.0,15.0,10.0,10.0
2001,3,456,,,,,
2001,3,463,30.0,30.0,30.0,20.0,20.0
2001,3,465,50.0,40.0,30.0,20.0,10.0
2001,3,483,45.0,35.0,30.0,25.0,25.0
2001,3,484,31.0,23.0,11.0,9.0,9.0
2001,3,485,10.0,40.0,45.0,30.0,50.0
2001,3,488,40.0,25.0,20.0,20.0,20.0
2001,3,498,,,,,
2001,3,499,20.0,30.0,30.0,20.0,20.0
2001,3,500,30.0,20.0,10.0,10.0,10.0
2001,3,502,40.0,30.0,20.0,20.0,10.0
2001,3,504,30.0,10.0,15.0,10.0,5.0
2001,3,507,40.0,30.0,25.0,25.0,25.0
2001,3,508,25.0,25.0,10.0,0.0,0.0
2001,3,510,30.0,30.0,30.0,30.0,30.0
2001,3,512,95.0,25.0,20.0,10.0,10.0
2001,3,516,40.0,40.0,30.0,20.0,10.0
2001,3,518,35.0,25.0,20.0,15.0,15.0
2001,4,20,0.1,0.1,0.1,0.0,0.0
2001,4,40,,,,,
2001,4,65,100.0,50.0,20.0,10.0,0.0
2001,4,84,60.0,30.0,30.0,35.0,40.0
2001,4,407,90.0,45.0,25.0,10.0,10.0
2001,4,411,100.0,50.0,5.0,5.0,5.0
2001,4,420,100.0,40.0,10.0,10.0,5.0
2001,4,423,45.0,25.0,30.0,15.0,20.0
2001,4,426,90.0,80.0,75.0,55.0,45.0
2001,4,428,90.0,50.0,35.0,20.0,15.0
2001,4,429,90.0,40.0,20.0,10.0,5.0
2001,4,433,100.0,50.0,30.0,30.0,30.0
2001,4,446,100.0,75.0,50.0,10.0,10.0
2001,4,456,99.0,70.0,50.0,30.0,10.0
2001,4,463,80.0,40.0,30.0,25.0,25.0
2001,4,472,95.0,25.0,0.0,0.0,0.0
2001,4,485,90.0,50.0,30.0,20.0,10.0
2001,4,488,,,,,
2001,4,497,40.0,20.0,10.0,10.0,10.0
2001,4,498,95.0,80.0,30.0,10.0,10.0
2001,4,499,80.0,65.0,40.0,30.0,15.0
2001,4,504,50.0,50.0,10.0,5.0,
2001,4,506,,,,,
2001,4,507,60.0,40.0,30.0,25.0,30.0
2001,4,508,100.0,50.0,30.0,25.0,20.0
2001,4,512,100.0,65.0,10.0,10.0,10.0
2001,4,516,,,,,
2001,4,518,100.0,80.0,60.0,50.0,50.0
2001,4,519,90.0,50.0,20.0,10.0,0.0
2002,1,20,0.1,0.1,0.1,0.0,0.0
2002,1,40,,,,,
2002,1,65,0.0,45.0,25.0,0.0,0.0
2002,1,84,20.0,15.0,15.0,15.0,25.0
2002,1,99,13.0,10.0,8.0,8.0,7.0
2002,1,407,35.0,20.0,5.0,5.0,5.0
2002,1,411,10.0,5.0,5.0,5.0,5.0
2002,1,421,25.0,20.0,20.0,20.0,20.0
2002,1,423,24.8,36.3,31.1,36.6,35.7
2002,1,426,40.0,30.0,20.0,20.0,20.0
2002,1,428,30.0,25.0,20.0,15.0,10.0
2002,1,429,,,,,
2002,1,431,38.0,38.0,30.0,25.0,25.0
2002,1,433,25.0,20.0,20.0,20.0,20.0
2002,1,439,10.0,15.0,20.0,20.0,10.0
2002,1,446,50.0,40.0,10.0,10.0,10.0
2002,1,463,40.0,30.0,20.0,20.0,20.0
2002,1,465,50.0,30.0,20.0,10.0,10.0
2002,1,483,50.0,45.0,40.0,35.0,30.0
2002,1,484,65.0,45.0,35.0,30.0,25.0
2002,1,485,75.0,75.0,25.0,25.0,10.0
2002,1,498,,,,,
2002,1,499,40.0,55.0,25.0,10.0,10.0
2002,1,500,10.0,20.0,10.0,0.0,0.0
2002,1,502,50.0,35.0,20.0,10.0,5.0
2002,1,507,45.0,35.0,30.0,30.0,25.0
2002,1,508,5.0,8.0,5.0,3.0,3.0
2002,1,510,0.0,5.0,10.0,5.0,5.0
2002,1,512,90.0,80.0,50.0,20.0,20.0
2002,1,516,50.0,30.0,10.0,5.0,3.0
2002,1,517,0.0,50.0,50.0,0.0,0.0
2002,1,518,80.0,30.0,20.0,20.0,20.0
2002,1,519,20.0,25.0,20.0,20.0,20.0
2002,1,520,15.0,5.0,5.0,5.0,5.0
2002,1,521,45.0,20.0,20.0,10.0,10.0
2002,2,20,0.1,0.1,0.1,0.1,0.1
2002,2,40,,,,,
2002,2,65,0.0,25.0,15.0,5.0,0.0
2002,2,84,2.0,4.0,6.0,10.0,10.0
2002,2,99,0.0,1.0,2.0,4.0,5.0
2002,2,405,10.0,20.0,10.0,10.0,10.0
2002,2,407,5.0,5.0,5.0,5.0,5.0
2002,2,420,10.0,5.0,5.0,5.0,5.0
2002,2,421,10.0,10.0,10.0,10.0,10.0
2002,2,423,,,,,
2002,2,426,10.0,15.0,15.0,20.0,20.0
2002,2,428,30.0,30.0,25.0,20.0,15.0
2002,2,429,,,,,
2002,2,431,,,,,
2002,2,433,10.0,20.0,20.0,20.0,20.0
2002,2,439,20.0,20.0,15.0,10.0,10.0
2002,2,446,0.0,20.0,20.0,10.0,10.0
2002,2,456,0.0,5.0,10.0,10.0,10.0
2002,2,463,2.0,8.0,15.0,15.0,15.0
2002,2,465,60.0,50.0,40.0,30.0,20.0
2002,2,472,30.0,10.0,5.0,0.0,0.0
2002,2,483,50.0,40.0,35.0,30.0,25.0
2002,2,484,21.0,17.0,14.0,11.0,18.0
2002,2,485,15.0,25.0,10.0,5.0,5.0
2002,2,497,20.0,10.0,10.0,5.0,5.0
2002,2,500,0.0,5.0,5.0,0.0,0.0
2002,2,502,20.0,10.0,5.0,5.0,5.0
2002,2,504,,,,,
2002,2,507,20.0,35.0,30.0,20.0,20.0
2002,2,508,5.0,3.0,3.0,3.0,5.0
2002,2,510,0.0,0.0,0.0,0.0,0.0
2002,2,512,0.0,10.0,10.0,10.0,10.0
2002,2,516,10.0,5.0,2.0,2.0,2.0
2002,2,518,20.0,20.0,10.0,10.0,10.0
2002,2,519,5.0,10.0,15.0,15.0,15.0
2002,2,520,10.0,20.0,10.0,0.0,0.0
2002,2,521,15.0,2.0,2.0,2.0,2.0
2002,3,20,5.0,5.0,5.0,5.0,5.0
2002,3,40,,,,,
2002,3,84,1.0,10.0,15.0,15.0,10.0
2002,3,99,0.0,14.0,19.0,26.0,18.0
2002,3,405,20.0,30.0,30.0,20.0,20.0
2002,3,407,5.0,10.0,5.0,5.0,5.0
2002,3,411,5.0,10.0,5.0,5.0,5.0
2002,3,420,10.0,15.0,10.0,10.0,10.0
2002,3,421,10.0,15.0,15.0,15.0,15.0
2002,3,426,40.0,40.0,35.0,35.0,30.0
2002,3,428,35.0,30.0,25.0,20.0,15.0
2002,3,429,,,,,
2002,3,433,10.0,10.0,10.0,10.0,10.0
2002,3,439,20.0,20.0,10.0,10.0,10.0
2002,3,446,0.0,10.0,15.0,30.0,30.0
2002,3,448,,,,,
2002,3,456,10.0,25.0,25.0,25.0,25.0
2002,3,463,,,,,
2002,3,465,45.0,45.0,40.0,35.0,30.0
2002,3,483,50.0,45.0,40.0,35.0,30.0
2002,3,484,45.0,32.0,21.0,11.0,11.0
2002,3,497,,,,,
2002,3,498,,,,,
2002,3,500,5.0,10.0,5.0,0.0,0.0
2002,3,502,,,,,
2002,3,504,5.0,10.0,15.0,15.0,16.0
2002,3,507,15.0,20.0,20.0,15.0,10.0
2002,3,508,15.0,20.0,15.0,10.0,10.0
2002,3,510,0.0,0.0,10.0,10.0,10.0
2002,3,512,0.0,5.0,5.0,5.0,0.0
2002,3,516,0.0,10.0,10.0,8.0,5.0
2002,3,518,20.0,20.0,20.0,20.0,20.0
2002,3,519,10.0,15.0,15.0,20.0,20.0
2002,3,520,20.0,20.0,5.0,5.0,5.0
2002,3,521,25.0,25.0,15.0,15.0,10.0
2002,4,20,0.0,0.0,0.0,0.0,0.0
2002,4,40,,,,,
2002,4,65,50.0,40.0,30.0,20.0,10.0
2002,4,84,20.0,15.0,15.0,20.0,20.0
2002,4,99,0.0,2.0,3.0,3.0,3.0
2002,4,405,20.0,30.0,30.0,30.0,30.0
2002,4,407,20.0,35.0,15.0,10.0,5.0
2002,4,421,20.0,10.0,10.0,10.0,10.0
2002,4,423,,,,,
2002,4,426,45.0,55.0,50.0,43.0,60.0
2002,4,428,40.0,35.0,30.0,25.0,20.0
2002,4,429,,,,,
2002,4,431,45.0,39.0,33.0,25.0,20.0
2002,4,433,30.0,20.0,20.0,20.0,20.0
2002,4,439,20.0,20.0,10.0,10.0,10.0
2002,4,446,20.0,40.0,20.0,10.0,10.0
2002,4,448,30.0,20.0,10.0,10.0,10.0
2002,4,463,10.0,10.0,15.0,15.0,15.0
2002,4,465,40.0,40.0,40.0,30.0,20.0
2002,4,472,20.0,5.0,5.0,5.0,5.0
2002,4,485,,,,,
2002,4,497,,,,,
2002,4,498,30.0,20.0,10.0,10.0,10.0
2002,4,500,30.0,20.0,10.0,0.0,0.0
2002,4,504,35.0,25.0,15.0,10.0,5.0
2002,4,506,,,,,
2002,4,507,35.0,30.0,25.0,15.0,15.0
2002,4,508,15.0,15.0,10.0,10.0,10.0
2002,4,510,0.0,0.0,0.0,10.0,10.0
2002,4,512,45.0,40.0,20.0,20.0,10.0
2002,4,516,25.0,15.0,20.0,20.0,20.0
2002,4,518,30.0,30.0,30.0,10.0,10.0
2002,4,519,,,,,
2002,4,520,30.0,35.0,25.0,20.0,20.0
2002,4,521,40.0,30.0,15.0,10.0,5.0
2003,1,20,0.0,0.0,0.0,0.0,0.0
2003,1,40,,,,,
2003,1,65,5.0,4.0,3.0,2.0,1.0
2003,1,99,0.0,3.0,5.0,8.0,9.0
2003,1,405,20.0,20.0,10.0,10.0,10.0
2003,1,407,10.0,10.0,5.0,5.0,5.0
2003,1,411,5.0,15.0,10.0,10.0,10.0
2003,1,420,5.0,10.0,10.0,5.0,5.0
2003,1,421,10.0,25.0,20.0,10.0,10.0
2003,1,426,80.0,60.0,60.0,55.0,60.0
2003,1,428,35.0,30.0,25.0,20.0,15.0
2003,1,429,,,,,
2003,1,431,20.0,20.0,15.0,10.0,10.0
2003,1,433,20.0,20.0,20.0,20.0,20.0
2003,1,439,0.0,10.0,15.0,15.0,15.0
2003,1,446,0.0,10.0,20.0,10.0,10.0
2003,1,456,5.0,20.0,20.0,10.0,10.0
2003,1,463,10.0,15.0,18.0,22.0,22.0
2003,1,465,50.0,40.0,40.0,30.0,30.0
2003,1,483,50.0,55.0,50.0,45.0,40.0
2003,1,484,71.0,41.0,31.0,21.0,11.0
2003,1,485,25.0,50.0,10.0,0.0,0.0
2003,1,497,25.0,20.0,10.0,5.0,5.0
2003,1,498,10.0,20.0,30.0,20.0,10.0
2003,1,500,0.0,10.0,10.0,5.0,0.0
2003,1,502,20.0,20.0,10.0,5.0,5.0
2003,1,504,20.0,35.0,15.0,10.0,5.0
2003,1,506,,,,,
2003,1,507,30.0,30.0,25.0,25.0,20.0
2003,1,510,0.0,0.0,0.0,0.0,0.0
2003,1,512,40.0,40.0,40.0,30.0,5.0
2003,1,516,15.0,14.0,13.0,12.0,10.0
2003,1,519,5.0,10.0,5.0,10.0,15.0
2003,1,520,10.0,10.0,5.0,5.0,5.0
2003,1,521,25.0,10.0,5.0,2.0,2.0
2003,1,523,32.0,25.5,24.2,22.2,12.4
2003,1,524,35.0,25.0,20.0,10.0,5.0
2003,2,20,0.0,0.0,0.0,0.0,0.0
2003,2,40,,,,,
2003,2,65,5.0,4.0,3.0,2.0,1.0
2003,2,84,15.0,20.0,25.0,25.0,25.0
2003,2,99,0.0,4.0,9.0,15.0,22.0
2003,2,407,15.0,10.0,10.0,10.0,5.0
2003,2,420,5.0,10.0,10.0,5.0,5.0
2003,2,421,15.0,15.0,15.0,15.0,15.0
2003,2,426,20.0,15.0,15.0,10.0,15.0
2003,2,428,35.0,30.0,25.0,20.0,15.0
2003,2,429,,,,,
2003,2,431,45.0,30.0,25.0,25.0,25.0
2003,2,433,10.0,10.0,10.0,10.0,10.0
2003,2,439,25.0,15.0,10.0,10.0,10.0
2003,2,446,0.0,5.0,15.0,20.0,20.0
2003,2,448,10.0,10.0,5.0,5.0,5.0
2003,2,456,45.0,25.0,20.0,10.0,10.0
2003,2,463,10.0,10.0,15.0,18.0,18.0
2003,2,483,33.0,25.0,25.0,25.0,25.0
2003,2,484,50.0,25.0,20.0,15.0,11.0
2003,2,485,75.0,25.0,15.0,5.0,5.0
2003,2,500,0.0,5.0,5.0,0.0,0.0
2003,2,504,15.0,10.0,7.0,5.0,5.0
2003,2,506,,,,,
2003,2,507,15.0,15.0,10.0,10.0,10.0
2003,2,508,15.0,10.0,7.0,5.0,2.0
2003,2,510,0.0,0.0,0.0,0.0,0.0
2003,2,512,60.0,40.0,20.0,20.0,10.0
2003,2,516,25.0,14.0,14.0,14.0,14.0
2003,2,518,20.0,20.0,20.0,10.0,10.0
2003,2,519,10.0,10.0,15.0,15.0,15.0
2003,2,520,10.0,5.0,5.0,5.0,5.0
2003,2,521,35.0,10.0,10.0,5.0,5.0
2003,2,523,,,,,
2003,2,525,10.0,10.0,10.0,5.0,5.0
2003,3,20,0.0,0.0,0.0,0.0,0.0
2003,3,40,,,,,
2003,3,65,0.0,0.0,0.0,5.0,10.0
2003,3,84,0.0,1.0,5.0,5.0,5.0
2003,3,405,5.0,10.0,15.0,15.0,10.0
2003,3,407,5.0,5.0,5.0,5.0,5.0
2003,3,411,2.0,2.0,5.0,7.0,10.0
2003,3,420,5.0,10.0,10.0,5.0,5.0
2003,3,421,15.0,15.0,15.0,15.0,15.0
2003,3,426,10.0,15.0,15.0,20.0,20.0
2003,3,428,10.0,10.0,15.0,15.0,15.0
2003,3,429,,,,,
2003,3,433,0.0,5.0,10.0,10.0,10.0
2003,3,446,5.0,5.0,5.0,10.0,10.0
2003,3,448,0.0,0.0,5.0,5.0,5.0
2003,3,483,5.0,10.0,20.0,20.0,20.0
2003,3,484,16.0,16.0,16.0,12.0,11.0
2003,3,485,0.0,0.0,5.0,5.0,5.0
2003,3,498,0.0,0.0,0.0,0.0,0.0
2003,3,502,10.0,15.0,20.0,25.0,30.0
2003,3,504,1.0,5.0,5.0,6.0,7.0
2003,3,506,,,,,
2003,3,507,5.0,10.0,10.0,15.0,15.0
2003,3,510,0.0,0.0,0.0,0.0,0.0
2003,3,512,10.0,10.0,5.0,5.0,5.0
2003,3,518,20.0,10.0,10.0,10.0,10.0
2003,3,519,5.0,10.0,15.0,15.0,15.0
2003,3,520,5.0,10.0,10.0,10.0,10.0
2003,3,524,0.0,5.0,5.0,5.0,5.0
2003,3,526,,,,,
2003,4,20,0.0,0.0,0.0,0.0,0.0
2003,4,40,0.0,0.0,0.0,0.0,0.0
2003,4,65,0.0,0.0,5.0,10.0,15.0
2003,4,84,0.0,1.0,5.0,5.0,5.0
2003,4,99,0.0,1.0,2.0,4.0,5.0
2003,4,405,20.0,20.0,20.0,20.0,20.0
2003,4,420,0.0,5.0,5.0,5.0,10.0
2003,4,421,0.1,10.0,10.0,10.0,10.0
2003,4,426,5.0,7.0,10.0,10.0,15.0
2003,4,428,20.0,15.0,15.0,15.0,20.0
2003,4,429,,,,,
2003,4,431,10.0,10.0,15.0,15.0,15.0
2003,4,433,0.0,10.0,20.0,20.0,20.0
2003,4,448,0.0,5.0,5.0,10.0,10.0
2003,4,456,1.0,5.0,10.0,10.0,15.0
2003,4,463,1.0,7.0,10.0,15.0,15.0
2003,4,472,0.0,2.0,4.0,5.0,5.0
2003,4,484,5.0,5.0,5.0,5.0,5.0
2003,4,485,5.0,10.0,5.0,5.0,5.0
2003,4,497,,,,,
2003,4,498,10.0,20.0,10.0,25.0,25.0
2003,4,504,10.0,5.0,6.0,8.0,0.0
2003,4,506,,,,,
2003,4,507,10.0,10.0,10.0,15.0,15.0
2003,4,508,10.0,10.0,10.0,10.0,10.0
2003,4,510,0.0,0.0,0.0,0.0,0.0
2003,4,512,0.0,0.0,10.0,10.0,10.0
2003,4,516,2.0,10.0,10.0,10.0,10.0
2003,4,518,5.0,5.0,5.0,5.0,5.0
2003,4,519,3.0,10.0,10.0,10.0,10.0
2003,4,521,2.0,5.0,8.0,10.0,15.0
2003,4,523,5.0,7.0,9.0,11.0,12.0
2003,4,524,0.0,2.0,5.0,5.0,5.0
2003,4,526,0.0,0.0,3.0,5.0,7.0
2004,1,20,0.0,0.0,0.0,0.0,0.0
2004,1,40,0.0,0.0,0.0,0.0,0.0
2004,1,99,0.0,0.0,3.0,4.0,6.0
2004,1,411,0.0,10.0,10.0,10.0,10.0
2004,1,421,5.0,5.0,10.0,15.0,15.0
