YEAR,QUARTER,ID,EMP1,EMP2,EMP3,EMP4,EMP5,EMP6
2001,3,421,,,,,,
2001,3,426,,,,,,
2001,3,428,,,,,,
2001,3,429,,,,,,
2001,3,431,,,,,,
2001,3,433,,,,,,
2001,3,439,,,,,,
2001,3,456,,,,,,
2001,3,463,,,,,,
2001,3,465,,,,,,
2001,3,483,,,,,,
2001,3,484,,,,,,
2001,3,485,,,,,,
2001,3,488,,,,,,
2001,3,498,,,,,,
2001,3,499,,,,,,
2001,3,500,,,,,,
2001,3,502,,,,,,
2001,3,504,,,,,,
2001,3,507,,,,,,
2001,3,508,,,,,,
2001,3,510,,,,,,
2001,3,512,,,,,,
2001,3,516,,,,,,
2001,3,518,,,,,,
2001,4,20,,,,,,
2001,4,40,,,,,,
2001,4,65,,,,,,
2001,4,84,,,,,,
2001,4,407,,,,,,
2001,4,411,,,,,,
2001,4,420,,,,,,
2001,4,423,,,,,,
2001,4,426,,,,,,
2001,4,428,,,,,,
2001,4,429,,,,,,
2001,4,433,,,,,,
2001,4,446,,,,,,
2001,4,456,,,,,,
2001,4,463,,,,,,
2001,4,472,,,,,,
2001,4,485,,,,,,
2001,4,488,,,,,,
2001,4,497,,,,,,
2001,4,498,,,,,,
2001,4,499,,,,,,
2001,4,504,,,,,,
2001,4,506,,,,,,
2001,4,507,,,,,,
2001,4,508,,,,,,
2001,4,512,,,,,,
2001,4,516,,,,,,
2001,4,518,,,,,,
2001,4,519,,,,,,
2002,1,20,,,,,,
2002,1,40,,,,,,
2002,1,65,,,,,,
2002,1,84,,,,,,
2002,1,99,,,,,,
2002,1,407,,,,,,
2002,1,411,,,,,,
2002,1,421,,,,,,
2002,1,423,,,,,,
2002,1,426,,,,,,
2002,1,428,,,,,,
2002,1,429,,,,,,
2002,1,431,,,,,,
2002,1,433,,,,,,
2002,1,439,,,,,,
2002,1,446,,,,,,
2002,1,463,,,,,,
2002,1,465,,,,,,
2002,1,483,,,,,,
2002,1,484,,,,,,
2002,1,485,,,,,,
2002,1,498,,,,,,
2002,1,499,,,,,,
2002,1,500,,,,,,
2002,1,502,,,,,,
2002,1,507,,,,,,
2002,1,508,,,,,,
2002,1,510,,,,,,
2002,1,512,,,,,,
2002,1,516,,,,,,
2002,1,517,,,,,,
2002,1,518,,,,,,
2002,1,519,,,,,,
2002,1,520,,,,,,
2002,1,521,,,,,,
2002,2,20,,,,,,
2002,2,40,,,,,,
2002,2,65,,,,,,
2002,2,84,,,,,,
2002,2,99,,,,,,
2002,2,405,,,,,,
2002,2,407,,,,,,
2002,2,420,,,,,,
2002,2,421,,,,,,
2002,2,423,,,,,,
2002,2,426,,,,,,
2002,2,428,,,,,,
2002,2,429,,,,,,
2002,2,431,,,,,,
2002,2,433,,,,,,
2002,2,439,,,,,,
2002,2,446,,,,,,
2002,2,456,,,,,,
2002,2,463,,,,,,
2002,2,465,,,,,,
2002,2,472,,,,,,
2002,2,483,,,,,,
2002,2,484,,,,,,
2002,2,485,,,,,,
2002,2,497,,,,,,
2002,2,500,,,,,,
2002,2,502,,,,,,
2002,2,504,,,,,,
2002,2,507,,,,,,
2002,2,508,,,,,,
2002,2,510,,,,,,
2002,2,512,,,,,,
2002,2,516,,,,,,
2002,2,518,,,,,,
2002,2,519,,,,,,
2002,2,520,,,,,,
2002,2,521,,,,,,
2002,3,20,,,,,,
2002,3,40,,,,,,
2002,3,84,,,,,,
2002,3,99,,,,,,
2002,3,405,,,,,,
2002,3,407,,,,,,
2002,3,411,,,,,,
2002,3,420,,,,,,
2002,3,421,,,,,,
2002,3,426,,,,,,
2002,3,428,,,,,,
2002,3,429,,,,,,
2002,3,433,,,,,,
2002,3,439,,,,,,
2002,3,446,,,,,,
2002,3,448,,,,,,
2002,3,456,,,,,,
2002,3,463,,,,,,
2002,3,465,,,,,,
2002,3,483,,,,,,
2002,3,484,,,,,,
2002,3,497,,,,,,
2002,3,498,,,,,,
2002,3,500,,,,,,
2002,3,502,,,,,,
2002,3,504,,,,,,
2002,3,507,,,,,,
2002,3,508,,,,,,
2002,3,510,,,,,,
2002,3,512,,,,,,
2002,3,516,,,,,,
2002,3,518,,,,,,
2002,3,519,,,,,,
2002,3,520,,,,,,
2002,3,521,,,,,,
2002,4,20,,,,,,
2002,4,40,,,,,,
2002,4,65,,,,,,
2002,4,84,,,,,,
2002,4,99,,,,,,
2002,4,405,,,,,,
2002,4,407,,,,,,
2002,4,421,,,,,,
2002,4,423,,,,,,
2002,4,426,,,,,,
2002,4,428,,,,,,
2002,4,429,,,,,,
2002,4,431,,,,,,
2002,4,433,,,,,,
2002,4,439,,,,,,
2002,4,446,,,,,,
2002,4,448,,,,,,
2002,4,463,,,,,,
2002,4,465,,,,,,
2002,4,472,,,,,,
2002,4,485,,,,,,
2002,4,497,,,,,,
2002,4,498,,,,,,
2002,4,500,,,,,,
